Number;Title;Description;TargetRevenueAmount;CampaignDateStart;CampaignDateFinish;Status;SalesTeamId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
003420250323CMP;Campaign 1;Description for campaign 1;220000;17/03/2025 00:00:00;17/05/2025 00:00:00;2;cc885c3b-d33b-4418-84c4-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001620250323CMP;Campaign 2;Description for campaign 2;390000;19/09/2024 00:00:00;19/11/2024 00:00:00;2;78cc5b8e-8dae-40f7-96c6-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001220250323CMP;Campaign 3;Description for campaign 3;450000;19/07/2024 00:00:00;19/08/2024 00:00:00;3;5d4e8a01-32c7-498b-a66a-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000620250323CMP;Campaign 4;Description for campaign 4;730000;04/05/2024 00:00:00;04/08/2024 00:00:00;4;17f5ae2d-fb0e-4c4e-8f55-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000720250323CMP;Campaign 5;Description for campaign 5;790000;18/06/2024 00:00:00;18/08/2024 00:00:00;3;69b08395-2855-4e41-9f09-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001520250323CMP;Campaign 6;Description for campaign 6;50000;25/08/2024 00:00:00;25/11/2024 00:00:00;4;5d4e8a01-32c7-498b-a66a-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003220250323CMP;Campaign 7;Description for campaign 7;70000;09/02/2025 00:00:00;09/03/2025 00:00:00;3;97aeac2e-52c5-415a-b1bb-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002420250323CMP;Campaign 8;Description for campaign 8;470000;06/11/2024 00:00:00;06/12/2024 00:00:00;2;97aeac2e-52c5-415a-b1bb-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001920250323CMP;Campaign 9;Description for campaign 9;490000;01/10/2024 00:00:00;01/01/2025 00:00:00;2;cc885c3b-d33b-4418-84c4-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001720250323CMP;Campaign 10;Description for campaign 10;360000;22/09/2024 00:00:00;22/10/2024 00:00:00;2;97aeac2e-52c5-415a-b1bb-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003020250323CMP;Campaign 11;Description for campaign 11;530000;26/01/2025 00:00:00;26/02/2025 00:00:00;3;0c6af79a-6faf-46e0-9b77-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003120250323CMP;Campaign 12;Description for campaign 12;320000;12/02/2025 00:00:00;12/04/2025 00:00:00;2;69b08395-2855-4e41-9f09-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002020250323CMP;Campaign 13;Description for campaign 13;810000;07/10/2024 00:00:00;07/01/2025 00:00:00;1;0c6af79a-6faf-46e0-9b77-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002920250323CMP;Campaign 14;Description for campaign 14;550000;01/01/2025 00:00:00;01/04/2025 00:00:00;0;5ceff2fe-8214-425a-a082-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000220250323CMP;Campaign 15;Description for campaign 15;860000;04/04/2024 00:00:00;04/05/2024 00:00:00;6;97aeac2e-52c5-415a-b1bb-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000320250323CMP;Campaign 16;Description for campaign 16;670000;20/04/2024 00:00:00;20/05/2024 00:00:00;3;0c6af79a-6faf-46e0-9b77-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001820250323CMP;Campaign 17;Description for campaign 17;550000;23/09/2024 00:00:00;23/12/2024 00:00:00;2;0c6af79a-6faf-46e0-9b77-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002820250323CMP;Campaign 18;Description for campaign 18;760000;02/01/2025 00:00:00;02/04/2025 00:00:00;5;0c6af79a-6faf-46e0-9b77-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001420250323CMP;Campaign 19;Description for campaign 19;850000;08/08/2024 00:00:00;08/09/2024 00:00:00;4;3c804658-9284-48a3-9283-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001020250323CMP;Campaign 20;Description for campaign 20;900000;02/07/2024 00:00:00;02/08/2024 00:00:00;3;3c804658-9284-48a3-9283-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002320250323CMP;Campaign 21;Description for campaign 21;70000;15/11/2024 00:00:00;15/02/2025 00:00:00;4;cc885c3b-d33b-4418-84c4-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001120250323CMP;Campaign 22;Description for campaign 22;210000;11/07/2024 00:00:00;11/10/2024 00:00:00;2;ceace54d-3f40-4b80-875f-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000120250323CMP;Campaign 23;Description for campaign 23;680000;13/04/2024 00:00:00;13/06/2024 00:00:00;2;cc885c3b-d33b-4418-84c4-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002220250323CMP;Campaign 24;Description for campaign 24;410000;04/11/2024 00:00:00;04/01/2025 00:00:00;1;cc885c3b-d33b-4418-84c4-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003620250323CMP;Campaign 25;Description for campaign 25;540000;21/03/2025 00:00:00;21/06/2025 00:00:00;1;69b08395-2855-4e41-9f09-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002520250323CMP;Campaign 26;Description for campaign 26;350000;23/12/2024 00:00:00;23/02/2025 00:00:00;4;17f5ae2d-fb0e-4c4e-8f55-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002620250323CMP;Campaign 27;Description for campaign 27;210000;14/12/2024 00:00:00;14/03/2025 00:00:00;4;5d4e8a01-32c7-498b-a66a-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003320250323CMP;Campaign 28;Description for campaign 28;260000;14/02/2025 00:00:00;14/04/2025 00:00:00;3;5d4e8a01-32c7-498b-a66a-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000820250323CMP;Campaign 29;Description for campaign 29;670000;28/06/2024 00:00:00;28/07/2024 00:00:00;0;69b08395-2855-4e41-9f09-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000920250323CMP;Campaign 30;Description for campaign 30;750000;19/06/2024 00:00:00;19/09/2024 00:00:00;3;5d4e8a01-32c7-498b-a66a-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000420250323CMP;Campaign 31;Description for campaign 31;360000;07/05/2024 00:00:00;07/07/2024 00:00:00;3;78cc5b8e-8dae-40f7-96c6-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
003520250323CMP;Campaign 32;Description for campaign 32;120000;26/03/2025 00:00:00;26/04/2025 00:00:00;4;78cc5b8e-8dae-40f7-96c6-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002720250323CMP;Campaign 33;Description for campaign 33;130000;28/12/2024 00:00:00;28/01/2025 00:00:00;0;78cc5b8e-8dae-40f7-96c6-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
000520250323CMP;Campaign 34;Description for campaign 34;80000;10/05/2024 00:00:00;10/08/2024 00:00:00;2;3c804658-9284-48a3-9283-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
001320250323CMP;Campaign 35;Description for campaign 35;540000;27/08/2024 00:00:00;27/11/2024 00:00:00;2;5ceff2fe-8214-425a-a082-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
002120250323CMP;Campaign 36;Description for campaign 36;840000;11/10/2024 00:00:00;11/11/2024 00:00:00;3;3c804658-9284-48a3-9283-b2a902e08d0d;FALSE;23/03/2025 13:24:00;;;
